Comment|No|Yes|Kind of offensive language
Panie Ceyrowski, najwieksza wada Polakow jest lekcewazenie wlasnych doswiadczen i nie wyciaganie z nich wnioskow na przyszlosc. Pan do tej grupy nalezy. Dobrze pamietam rzady PiS z lat 2005-07 i nie wierze w to, ze obecne rzady moga wygladac inaczej. Jaroslaw Kaczynski mial niebywala szanse pokazac, ze jest zupelnie innym czlowiekiem od tego zacofanego, zasciankowego, ksenofobicznego, intrygujacego, wiecznie insynuujacego oraz zadufanego w sobie Jaroslawa Kaczynskiego jaki funkcjonuje w swiadomosci znacznej czesci spoleczenstwa. Nie dosc, ze tego nie zrobil to jeszcze ten obraz utwierdzil. To, ze wraz z Ziobro i Kaminskim nie odpowiadal przed TK za dzialania niezgodne z prawem, zawdziecza Donaldowi Tuskowi, z ktorego robil morderce swojego brata i pozwalal na wyjatkowo ohydne szkalowanie go przez tak podlych ludzi ze swojego najblizszego otoczenia jak J. Kurski, Hofman i wielu innych. Dla mnie J. Kaczynski to czlowiek niegodny tego aby przyzwoici ludzie zadawali sie z nim w jakiejkolwiek formie.|10|17|1
JAK TAKI CZŁOWIEK JAK TUSK MÓWI ŻE JEST POLAKIEM -BYŁ NIEMCEM Z DZIADA PRADZIADA I TO SIĘ NIE ZMIENI. NIECH ON LEPIEJ DO POLSKI NIE WRACA BO GO POLACY NA TACZCE WYWIOZĄ DO NIEMIEC!!!!!!! TO DZIĘKI JEGO RZĄDOWI POLSKA WPADŁA W TAKIE DŁUGI TO W JEGO RZĄDZIE BYŁO TYLE AFER.BĘDZIE LEPIEJ JAK ON NIE MÓWI ŻE JEST POLAKIEM BO POLACY MAJĄ JUŻ DOŚĆ WSTYDU PRZEZ JEGO RZĄD I JEGO.!!!!!|83|47|1
wolałbym zobaczyć minę tego pana właśnie na tym jeżu...|7|7|1
Po czym poznać wyznawcę PiS? Wciąż te same puste frazesy - piszecie jak nakręceni. Kultura wypowiedzi na żenującym poziomie, obrzucacie wszystkich dookoła błotem. Za to prezes Kurski będzie bardzo obiektywny. Wyjdźcie w końcu z tej piaskownicy, bo sami sobie krzywdę zrobicie dzieciaki.|2|1|1
jepac polskich faszystow jepac|2|0|1
Dostał coś ogłupiającego oby tak dalej|2|2|1
Prezes zobaczył jak Bieńkowska ciągnie zbiorowo znaczącym parlamentarzystom w UE, żeby więcej krytykowali PiS i te rządy, bo jakoś przycichli.|4|6|1
Po trzech miesiacach rzadzenia chcesz spelnienia wszystkich obietnic, stary durniu?|8|7|1
Islam to nie religia, ale to jak chore moze byc spoleczenswo kierowne slepa wiara mozna zaobserwowac u wyznawcow PiS, przyznaje glosowanie na PO nie jest lepsza alternatywa, ale zamilowanie do PiSu to pierwsze oznaki klopotow ze zdrowiem psychicznym|1|0|1
jds- zapytam o zdrowie?-cos nie tego ?-Troll nagina zasady?|4|13|1
Warszawa jest tak zapaskudzona żydo-bolszewią, TAM NIE MA pOLSKIEGO MYŚLENIA, że stolicę należy przenieść w inne miejsce...tylko w jakie ???|0|2|1
Dlaczego do smoleńska nie lecieli większym samolotem? Problem dziś byśmy nie mieli to i miejsce dla braciszka i dudusia się znalazło|4|1|1
Alez wysypalo sie tego pislamskiego hejtujacego bydla.. ble|9|5|1
Pewien ogier powiedział Konusowi, że ma większego "zbója" niż on. Konusa to rozbawiło i nie uwierzył.|1|6|1
Trzeba sprawic by ta religia i jej wyznawcy znikli z historii i mapy swiata. Jest jedyna opcja.|6|619|1
to właśnie tam działa Tatarzyna, któremu polscy sługusy frau Merkel zwani dla niepoznaki PO dali na działalność bandycką 1 mln euro, wielbiciele szamba peowskiego jesteście dumni?|1|2|1
I super. Jednej jędzy mniej!!!|2|1|1
To człowiek tylko w połowie i to tej gorszej.|15|7|1
W 4 literach to ty masz wacka proboszcza. A potem do paszczy i grand finale.|3|3|1
Śmieje się ze swojej własnej głupoty i z głupoty suwerena.|2|9|1
SZKODA ZE NIE PĘKŁ|1|5|1
Klamliwy fiurerek.|7|6|1
DO POzbawionych MÓZGÓW!!!-JESTEŚCIE ŚMIESZNI I ŻAŁOŚNI!|26|4|1
Ten złóg Gomółkowski ziewał.|1|0|1
Pytam się gdzie jest Tusek bo ani słowa nie odzywa się na beszczelne słowa niemcow pytam się gdzie on jest do h... a jak widzę bienkowska to mi się nóż w kieszeni rozkłada. ...|53|24|1
MLEKIEM I MIODEM PŁYNĄCY   KRAJ ZA CZASÓW  PO ???  TY   CZŁOWIEKU  JESTEŚ  UPOSLEDZONY  LUB  BARDZO ZŁYM  !!!     JUZ  DZIEŃ PO WYBORACH  krzyczeliście  ,że prezydent i rząd  nie  spełnia obietnic !!!!     MAJĄ NA  TO  4  LATA !!|2|0|1
WY K***WY ZPO TEŻ JESTEŚCIE LUDEM KONFIDENCI !!!!!!!|3|1|1
Doloczylas do sitwy ktora manipulowla lemingami,juz dawno POwinni was wyrzucic|107|54|1
zbiera mi sie na wymioty jak patrze na tego gnoma|6|3|1
Jak to zrobili Tatarzy (notabene nawoływali do tego przez cały miesiąc)to nie różnią się niczym od muslimskiej hołoty w Paryżu.Nie ściągać jako uchodźców popaprańców do Polski.Mamy swoich od stuleci wiernych Rzeczypospolitej.|2|5|1
i tu się mylisz! gdyby doprowadził antyżydowską krucjatę do końca, nie byłoby grupy Bilderberg, Bnai Brith itp, ergo nie miałby kto finansować tej muzelskiej hołoty! Bo chyba nie sądzisz, że mieli pieniądze na podróż ze sprzedaży kozy..|0|11|1
A ten ciągły głupawy uśmieszek Schetyny co oznacza ?|5|4|1
Sekta pisokomunistyczna to dno !|2|1|1
Rudy zawsze będzie fałszywy. Sprzedał Polskę za stanowisko.|44|28|1
W końcu rudy kapuś za darmo nie dostał stołka|1199|149|1
Pospolite  Opluwacze  kwiczom bo mówi  prawde|6|4|1
.   Moze  byl naćpany  .po czym poznać głupiego  po smiechu  jego.|5|5|1
Akurat Dyzmą to był Wałęsa ćmoku.|0|0|1
KRZYŻ NA DROGĘ O PRZEPRASZAM GWIAZDĘ DAWIDA.|2|0|1
goń się dzyndzlu do Torunia !!!|8|1|1
To patologia....|1|3|1
Te sondaże to wróżenie z fusów. Prawda jest taka, że PiS w tej chwili może mieć nawet 60-70% poparcia, a partia Cygana Petru - Nowoczesna jak ma około 10%, to i tak cud. Tak więc przestańcie się ośmieszać, bo naród coraz bardziej się jednoczy i coraz więcej osób staje za PiSem. Tego przewrotu w Polsce już nikt nie zatrzyma, bo tego oczekuje naród, za wyjątkiem zdrajców, sprzedawczyków, złodziei i otumanionych. Jasne?|2|1|1
BRAWO PANI DOMINIKO! BEZ DOBRYCH DZIENNIKARZY ROBIACYCH   O G L A D A L N O S C  TVpis bedzie tylko budynkami pelnymi jadu, nienawisci i kaczego smrodu.  Telewidzowie "pojda" ZA WAMI GDZIEKOLWIEK ZNAJDZIECIE PRZYSTAN.  pusszczujnia obojetnie jak sie nazywa jest tyljo tandetna pisszczujnia i nic tego nie zmieni.  BOJKOTUJEMY tvpis!|3|2|1
Ś M I E Ć RENCISTA :)|8|3|1
Ta jędzowata. baba to gendrzerka femnistka tumanistka ćwierć inteligentna smrody szatana aseksualna aorgazmowa z wiecznym dyskmfortem w gaciach zimna wściekła zła ....chyba wibrator ma uszkodzony...na szczaw i mirabelki !!!|3|2|1
a kaczynski cudem uniknal smierci buahahaha jasinski i piotrowicz to byli tajni wspolpracownicy solidarnosci buahaha k.. robi sie coraz ciekawiej coraz smieszniej w tym kraju czemu nie moze byc normalnie? heh|5|1|1
Dlaczego nie pisaliście tego jak banda tuska zwalniała dziennikarzy. Kwik kwik kwik oddajcie nam koryto...|22|7|1
napisał chyba jedyny wykastrowany przez Tuska (intelektualnie)|7|6|1
popier pisowskie  GOLEBIE JARKA mAM NADZIEJE ZE SZYBKO TE 4 LATA SPLYNAL BO NOWA WLADZA ROZLICZY WAS ... SAMI OTWORZYLISCIE FURTKI , NIE BEDZIE DLA WAS LITOSC JAK SAMI TO ROBICIE LAMIECIE PRAWA I ETYKI LUDZKIE  A TOO SIE SPOTKA EDEKWATNA ODPOWIEDZIA ...|1|0|1
Ja mam nadzieje że w końcu znajdzie się Patriota i skończy z tym Qrestwe gebelsowskim raz na zawsze !|11|7|1
Volksdeutsch !!!|26|13|1
POspolite rozwolnienie ma ciąg dalszy. POpłoch??????|2|1|1
fest pacanie głupia pało jesteś ćwokiem jakich mało|2|1|1
Co za skur.....y takie glupoty pisza a niech was polaczki szlag trafi|11|3|1
Tobie peło rozwaliło łepetyne skoro tak myślisz ubeku|1|0|1
Nie chcieli , PiS-lamiści zagłosować na niego to im podstawił Dudę i Szydło i dorwał się do władzy a teraz śmieje się z tego jak ich w wała zrobił ale do nich i tak nic nie dociera , zbyt tępi są .|7|17|1
O boże. znów bąk mi uciekł.|0|3|1
Wyświetlił sobie jak zapinał kota pod ogon|1|2|1
Lizanął by jej rowa.|2|0|1
Jej różowo czerwoni idole za taki wywiad w obcych mediach z pierdla by jej nie wypuścili, a i sama intuicyjnie by wiedziała co i gdzie mówić i robić.|2|1|1
a ten baran powinien zwolnionym płacić pensje do emerytury !!!!!!!!!|3|0|1
Szacunek dla niej !!!!  Rydzyk i dyktatura przejmie wszystko w TV !!!|5|0|1
kwik ostatnich świn odciętych od koryta , bezcenny|66|28|1
kapuś i zdrajca koniec tematu. Persona non grata !!!|11|5|1
Ty jesteś niedorajdą.|3|0|1
Coś się PO-jedbało PiS-oryy i inne nacje takie wystawiacie o sobie opinie że strach.Jesteście TYLKO MARIONETKAMI  TYCH CO W DANYM MOMENCIE PRZY KORYCIE.POWODZENIA SMUTNY NARODZIE|3|1|1
słuszna sprawa a kontrabanda PiS działa w najlepsze komuna bis i ich dorosłe dzieci Kaczyńskiego powróciły do lat młodości z komuną w tle "ale pluj świni w oczy to powie ze deszcz pada"|9|5|1
OTO WRÓG POLSKI I POLAKÓW. WIDAĆ PRAWDA JEST O JEGO OJCU. WON Z POLSKI TUSK Z RODZINĄ.|16|7|1
wy....ać wszystkich będzie spokój.|1|0|1
Te dziewczyny wypowiadające się  na pewno robią lody księżom i grzmocą się na potęgę a przed kamerą to święto jebliwe|5|1|1
TUSK to zdrajca , lepiej niech siedzi cicho !!! Słuchanie Merkel na dobre mu nie wyjdzie !!!! No chyba , że nigdy mu na Polsce nie zależało !!!!!|108|7|1
Baranie nie czytam twoich wypocin tylko ci napiszę, że nie da się naprawić wszystkiego w ciągu 3 miesięcy co zniszczyliście przez 8 lat i tyle.|26|3|1
nie dorozwinięci tak mają, że czasami ryczą z byle czego|5|3|1
a co to kogo obchodzi .CODZIENNIE SETKI LUDZI TRACA PRACE I CISZA A TERAZ JAK TYCH CELEBRYTOW WYPIEPRZAJA TO WIELKI LAMENT  SMIECHU WARTE .GDYBY UCZCIWIE WYKONYWALI SWA PRACE TO NIKT BY ICH NIE WYWALAL.A ZE WOLELI LIZAC DUPSKA TUSKOWI POZNIEJ KOPACZ NA BULU KONCZAC TO NIECH TERAZ IDA DO NICH PO ROBOTE|42|18|1
czlowieku opisujesz same pierdoly ,to juz bylo wiadomo przed wyborami:|5|3|1
Odpowiedź na poziomie typowego wyborcy PISu|32|12|1
Cała Polska spiewa z Nami ... wypierdalać z KODowcami ! ! !|11|5|1
Kiedy ktoś pisze "mietla" to już wiadomo ze prostak z wiochy.|4|1|1
a widziałeś ..? złapałeś to czemu kłamiesz..? Pisowski trolu!|132|21|1
a zaproponował ci kopa w d..... , bo jeśli nie to podaj adres , chętnie ci zaserwuję podkutym butem.|2|0|1
Zdrajca!|10|6|1
Czytam komentarze i nie wierzę !!! PIS taki PIS owaki ciągle źle rządzi dwa miesiące i nie powiem szybko i może drastycznie działa ale działa !!! Rozliczacie obecna władze po 2 m-cach a po 8 latach nie rozliczyliscie swoich !!! Krzyk medialny ciągle krytyka to ja sie pytam na co oni maja czekać ?!  Ludzie pierwszy raz w Polsce mamy rzady jednej partii nawet w Europie jest to rzadkość tym bardziej prawicowej ! I dla tego wszyscy sie burzą! POLACY ostatnie decyzje unii są jedynie próbą zamaskowania aktualnej sytuacji w Niemczech i wszędzie tam gdzie są uchodźcy!!! Fala gwałtów i molestowań rozlała sie po calej Europie. Tak bardzo chca walczyć o wolność mediów a ja sie pytam czemu informacje o zdarzeniach w całych Niemczech wyszły dopiero ponad 5 dni po fakcie czemu politycy blokowali upublicznienie tych informacji a oni będą walczyć o nasze polskie media !!!! WSTYD MA ZA POLAKÓW i mimo ze nie ze wszystkim sie zgadzam co robi pis nie trawie tych złodziei w sutannach to mimo wszystko nienawidzę hipokryzji i ludzi którzy nie maja własnego zdania a jedynie zaślepieni wierzą w zielona wyspę jaka nam Tusk obiecał|3|2|1
normalne zachowanie ludzi ułomnych|2|5|1
kaczynski skomlal o miejsce przy okraglym stole...|10|14|1
Szczujnia nie próżnuje. Sadurski opluwa Polskę w Spieglu. POstkomuna z Nowoczesną  blokuje obrady Sejmu zglaszajac wnioski o przerwy...WP tez chce się podlizać obcej agenturze.|3|3|1
Czyżby gdzieś uciekł za granicę? Raczej bardzo facet solidny i konkretny! Nigdy nie będzie pachołkiem sił mających gdzieś nas, Polaków! Wiem, że cię to boli bo wolałbyś sługusa dworów zagranicznych, pachołka merdającego, z wystawionymi łapkami!|13|6|1
Posmigalbym na niej i tyle. ..|1|0|1
BRAWO PIS! ostatnia nadzieja dla Polski i Polaków! nikt nie jest święty,wszyscy jesteśmy tylko ludżmi,i nie zrażajcie się kiedy w PISie znajdzie się jakaś czarna owca,SBeki wstawili do opozycyjnych partii swoich agentów i co jakiś czas wciskają guzik,aby skompromitować PIS,Paweł trzymaj się z PISem,aby ciebie WSI nie POdkupiła.Każdy popełnia błędy,ale ogólnie PIS jest dla Polski i Polaków,reszta tylko chce na Nas i Polsce żerować.|275|129|1
Masz rację zwieracze puszczają o.....rac pis|4|1|1
przeciez to CZUBEK Z ADHD|2|1|1
ruda fałszywa menda. my natomiast zajmiemy się do bólu sprawą tych bandziorów i złodziei bąków. odpowiedzą za wszystko jechane folksdojcze|26|11|1
A WP już wie co powiedział lub co miał na myśli POwskie pieski|4|3|1
nie szkoda tej łajzy|2|1|1
Taki dowcip to dla chamów z PO, ale NIGDY dla Pana Kaczyńskiego! Niemcy na swoich portalach jednoznacznie wspierają PO i Nowoczesna (Ponowna Okupacja Niemiecka). Niemcy finansowali partię Tuska i ułatwiali jej dojście do władzy, później konDonka-zdrajcę zrobili naczelnym błaznem Europy. Jest jasne, dlaczego Niemcy zażarcie bronią interesów swojej agentury w Polsce, ale czy my mamy się na to godzić? NIE!! W tej sytuacji Polacy powinni Szkopów przegonić, a zdrajców wyłapać, ogolić i izolować!|1|0|1
OMG,  news stulecia. Prezes się śmieje!!!!  poproszę o wiadomość kiedy se pierdnie.|21|6|1
te barany ciemne co tak krytykuja obecny rzad... uwazacie osly tepe za za PO rzadow byla demokracja??????? cos baranie jeden drugi za darmo za marna pensyjke robiles i g...o z tego masz tamci u wladzy majatki pozbijali a ty co? co miales parobku do powiedzenia?? NIC sieroto jedna.anarchia i bezprawie ...okradanie narodu przekrety i afery i ty to ciemna pala z druga demokracja nazywales????|7|5|1
Co ty napisał wsiowy capie ?|3|1|1
pierwszy gej europy wschodniej w obesnym usmiechu.|1|1|1
panie prezesie a może by tak do psychiatry? na pewno pomoże.|8|15|1
Syn Niesioła niejaki Nejmand tez by sie usmiechnąl ale ma botoksową nerwicę!|3|2|1
Polskie spółki straciły na wartości okł 43 miliardy złotych przez harce tego łysiejącego buca, mi bank podnosi raty kredytowe, paliwo zaczyna znowy drożeć gdyż złotówka spadał ana łeb an szyję. Chamota PiSowska WON z POLSKI.|2|8|1
Platforma Obywatelska ma ostatnio 14 procent poparcia. Co na to Stefek Niesiołowski. Pokażcie go wreszcie, wstydzicie się? A taki mądry był i miał wyłączność na prawdę. Brakuje mi tej ochrypłej z nienawiści bestii. Lubiłem patrzeć jak charczy i ślini się nie przebierając w słowach. Robił w Sejmie najlepszy kabaret w Polsce. Stefek, daj czadu, nie wstydź się.|5|5|1
Tusku przyjedź do Polski bo już najwyższy czas by cie zapuszkowac TY SPRZEDAWCZYKU|31|18|1
nie martwcie sie, zastapia ich Maxem Pojebonko. On wam wcisicie, ze Hitler byl Aniolem...|3|0|1
JA SZCZYTUJE CO WIECZÓR I MOJA PANI TEŻ  A ONI  NIECH SPI.......Ą OD NAS JESZCZE  MAŁO ZDEMOLOWALI GOSPODARKĘ|11|4|1
skazać ZDRAJCE!!! RUDY SPRZEDAWCZYK!!!|11|5|1
Sondaż ha ha ha , na stu głosujących sto dwa głosy na pis. Wychodzi szydło z worka , maliniak i jego przedwyborcze papierowe obietnice .|7|3|1
Duda to wstyd spotkać się z łachmytą Donkiem  T.|4|0|1
WP mało się nie z...sra. Czy wasza głuPOta ma jakieś granice? Dlaczego nie zamieszczaliście takich "sensacji" na temat Tuska, Kopacz i POzostałych, którzy przez 8 lat śmiali się z Polaków zajadając ośmiorniczki, popijając markowym winem?|3|2|1
Mam w dvpie to co mówi islam i ci kozoyepni "proboszcze" islamscy. Powinni zachowywać się zgodnie z kulturą i obyczajami panującymi u tych, którzy ich przyjęli. A tak w ogóle to powinni ich wypierniczyć z krajów, pijawy jedne, to jest gorsze ścierFo niż cygani i powinni zostać usunięci. Jak w Polsce będzie się któryś panoszył to dostanie po mordzie i nawet przez sekundę mi nie przejdzie przez myśl, czy nie obrażam jego religii - sarm na niego!!|1|59|1
wygląda na to jakby się naćpał?|3|4|1
Gliński to jest etatowy pajac PiSu|1|0|1
Taka miernota polityczna o parszywej reputacji dziś rozdaje karty.Przecież to jest horror.|4|1|1
Ojjjj ktoś przepowiadał, że czarny szatan Obama rozpiedo.li porządek na ziemii... i wszystko na to wskazuje, że miał rację.|0|5|1
zbulwersowana.....a nie bulwersuje Cię fakt, że "parszywy" Towarzysz Balbina, pseudo Jarosława Kalkstein/Kaczyńskiego, to znany syn warszawskiego komucha i nacjonalistycznego Żyda Rajmunda  Kalkstein/Kaczyński, który pomagał Sowietom w wyłapywaniu członków polskiego podziemia  AK, oraz był jednym z 3-ech osób, które to wydały w łapy gestapo polskiego generała Grota.........a kto wie, czym mógł zaimponować oficerowi SB Jarosław Kalkstein/Kaczyński, że ten po odmowie podpisania lojalki wypuścił go wolno i nigdy już nie nękał?....|9|7|1
NO I DOBRZE .MA PRAWO PAN SCHULZ Z RACJI URZĘDU SPRAWDZIĆ TĘ POLSKĄ NOCNĄ DEMOKRACJĘ.WSTYDZĘ SIĘ ZA MARIONETKOWEGO PREZYDENTA URZĘDUJĄCEGO WŁAŚCIWIE W KOŚCIOŁACH W DYMACH KADZIDEŁ I TĘ NIBY PANIĄ JĘCZĄCĄ BUFETOWĄ PREMIER , KTÓRA WSADZIŁA NA ODPOWIEDZIALNE STANOWISKA SKOMPROMITOWANYCH POLITYKÓW JAK  TEN SZALENIEC MACIAREWICZ CZY ZIOBRO.CZY UWAŻACIE ŻE TO DOBRZE ROKUJE DLA TEJ BIEDNEJ POLSKI .......|5|2|1
Dobrze że nie pękł bo byłby smród na całą Polskę .|5|3|1
co to za  tytuł '' znów mówi .....'' ? Zginęło tylu ludzi , sprawa nie wyjaśniona.Te pajace z PO i PSL oraz Lewicy nic konkretnego nie wyjaśnili.Podali wersję Moskwy i tyle.Wstyd|54|23|1
Nie wy qwa już jesteście przeszłością:-)|3|0|1
Zdrajca, pachołek, wyrobek - precz z kraju.|33|22|1
PiS_dy z podszywanym życiorysem Solidarność będą podszywane wiadomości głosić!|7|1|1
Iwon - czy ty jesteś kotem Jarka?|0|0|1
Stary pryku jak już siedzisz na wikcie podatników to do pracy się weź a nie głupotami się zajmujesz, albo lepiej nie pracuj bo znowu jakieś głupoty wymyślisz|2|5|1
Ile w nim  nienawiści, ta sierota Tusk nie może się pogodzić z tym, że to PIS naprawia Polskę po jego makabrycznych Rządach i zrobi wszystko żeby to utrudnić kosztem milionów Polaków|420|320|1
Pewnie jak wielokroć w historii to Polska będzie musiała ratować tę durną Europę Zachodnią przed islamem (patrz najazdy Tatarskie i zwycięskie wojny z Imperium Osmańskim). W laniu muzułmanów jesteśmy dobrzy i nie będzie u nas litości. Wbijanie na pal pogan to była ulubiona rozrywka naszych przodków . Lach będzie znów budził strach u tych islamskich kundli. I wcale nie chodzi tu o siłę armii, ale o nasze wysokie morale, tradycyjne wartości i wiarę chrześcijańską. Zwycięża się hartem ducha a nie tylko stalą. Ale tym razem nie bądźmy głupi. Ci zapyziali i tchórzliwi zachodni Europejczycy będą musieli za ratunek  słono zapłacić.|0|2|1
kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi kwi|69|17|1
Tusk ty blaznie mafijnej UE wrog Polski nr.1|83|45|1
Won !|1|0|1
poczytaj powód obniżenia ratingu przez s&p "głupi irku"|0|5|1
szkoda, ze nie pękł Pawłowicz by miała drugie śniadanie|4|3|1
Wiem, że zwolennicy PIS u to poziom intelektualny  zerowy, ale ,żeby poniżej zera ? to HAŃBA !|17|3|1
Qrwa ten kraj zżera rak.  W dodatku rządzący cierpią na chorobę psychiczną a i tak mają poparcie. Ja tego qrwa nie ogarniam.|19|8|1
Bolek spokojnie bo ci żyłka pierdolnie!|3|2|1
GDYBY  NA  SWIECIE  MOZNA  BYLO  SIE  SMIAC  NA  SALACH  ROZPRAW  SADOWYCH  I  SALACH  POSIEDZEN -  TO  JEDNO  BYLOBY  PEWNE  =  TE  KTO  TAM  SIE  SMIEJE  SAM  DO  SIEBIE  I  PROBUJE  ROZBAWIC  INNYCH  TO  CZUBEK   A  NIE  OSOBA  POWAZNA  DO  MIEJSCA  GDZIE  TAM  PRACUJE  ZA  CO  BIERZE  KOLOSALNA  ZAPLATE .|1|1|1
Ciekaw jestem czy po tym jego śmiechu trzeba było wietrzyć salę|4|4|1
Nazwisko ma adekwatne do rozumu|1|0|1
TUSK TY CH**U RYZY WARA OD POLSKI NASZEJ KOCHANEJ DO AFRYKI UCIEKAJ BANANY ZBIERAC|11|5|1
lepiej stary niż głupi tak jak ty, ...|1|1|1
biernacki, ty zakop te szczontki luckie z celi trynkiewicza, bo jako polityk jesteś już zerem|3|34|1
Nazwałbym go spasionym knypkiem ale tego nie zrobię i nazwę go "Polakiem gorszego sortu"|7|6|1
Typowe dla schizofrenii paranoidalnej...|42|33|1
No i co on tam ma? niech nadstawi... kopa można by zasadzić...|0|0|1
Jareczku, śmiech to zdrowie. Trzeba się śmiać z po-psl-owskiej bandy! Przydałoby się zakuć w dyby tego śmiecia Burego! Myślę że to da się zrobić. Pozdrawiam i życzę dobrego chumoru.|3|4|1
tylko owych tatarów nie przyjmować do Polski.Niech spierniczają na Syberię.|1|13|1
Czy Piotr Kraśko jest synem czy wnukiem PRL-owskiego bonzy Wincentego Kraśki? Jeżeli tak - to wszystko jasne! Typowe "Dziecko resortowe"|1|0|1
No i szczekaczki co Wy na to.|220|128|1
To pajac. Powinni go w ogolę już nie pokazywać.|31|11|1
Haaaa tobie cos powalilo sie w tej zapyzdzialej lepetynie|10|2|1
pewno był na artykułach ikomentarzach ,zobaczył jak was naród-----Kocha-----zdrajcy i kolaboranci                 k    k|3|11|1
Nie wstydzisz sie padalcu dziennikarski dawac takie tytuly ? w porównaniu  do tego co wy wyczyniacie hieny dziennikarskie i co wypisujecie piszesz ze Duda nie dotrzyma słowa hahahahaaaaaaaaa|5|2|1
"Ten się dobrze śmieje, kto śmieje się ostatni". Niech pan więc uważa z tym śmiechem, tym bardziej, że pana uśmiech jest tak koszmarny jak u wiejskiego głupka.|5|2|1
O Adamie nie można powiedzieć, że nie chciałoby się oglądać go gdziekolwiek, bo Adam  rezprezentuje nickowe anonimowe  PiSpólstwo|28|7|1
Zrób miejsce dla prawdziwych dziennikarzy i fora ze dwora, do szczujni.|4|1|1
Zdrajco nie wracaj już nigdy do Polski.|11|4|1
Zdrajca numer 1.|26|15|1
Jacy oni teraz dumni i ślepi to dosłownie mnie rozbraja,ci propagandziści naprawdę wierzyli w to co mówili tak jak w ,,Rosyjiiii''  i w Korei Północnej,po prostu SZOOOK!!!! to chorzy ludzie .|1|0|1
ty ryży POpaprańcu i ZDRAJCO narodu Polskiego!!! Nie zapominamy takich rzeczy przy urnach wyborczych!!!|85|49|1
Szkoda, że nie pękł|2|0|1
Po gwałcie arabus dostanie po ryju to będzie RASIZM !? Prosta zasada jak gość nie potrafi się zachować to niech WYP.... do Syri czy do innego Pakistanu.To sa młodzi ludzie powinni walczyc o  swój kraj , nie spie... z niego jak szczury|1|18|1
Nareszcie te POdroby dziennikarzy POjda do TVN i będą 24 godz głosić govnno prawde|3|2|1
Bardzo dobrze. Tępa nabzdyczona dzida - w mojej opini oczywiście.|1|0|1
tusk to zdrajca, konfident, targowiczanin i niemiecki pachołek.|31|18|1
Bredzisz folksdojczu, WSI zarządza nadal ich pieszczoch, niekumaty Komorowski, bo z agentury nigdy się nie wychodzi, to dożywocie...|1|0|1
Co ten tabletowy-techniczny pie...rzy!|3|2|1
ale ile szkody narobi ten zakompleksiony mini dyktatorek !!!!|32|14|1
Cwoku nie ma takiego kraju jak uraina, to są tereny ROSJI i POLSKI. Ukraine wytworzyli zydzi co szukaja wojny z poparciem usZła|0|0|1
Puścił bąka a reszta udaje ,że fiołkami pachnie.Kaczorze jeszcze przyjdzie czas,że odpowiesz za swoje przekręty. My będziemy pamiętać, masz to jak w Banku|2|2|1
Gdyby wyborcy Pisu potrafili się gramatycznie wyrażać,nie głosowali by na Pis.|13|6|1
1000 Eur na muslima x milion sto przybyłych...to ponad miliard EUR!! miesięcznie wydaje makrela na ten syf....a za to można byłoby ich na miejscu uspokoić!|0|6|1
Ale szczerbatą gębę zasłania dłonią spoconą.|0|1|1
KRASKI MI SZKODA ALE TEJ PANI NIE  WIDZIAALEM JEJ WYWIAD JAK PROWAADZILA....ŻENADA|3|0|1
Polaku najgorszego sortu nie wiem czy zdaje sobie sprawę ze podpisujac sie w ten sposób sam sobie wystawiasz ocenę. Jezeli nie jestes politykiem ktory donosi na własny kraj, a tych Jarek nazwał "gorszy sort" to naprawde musisz byc upośledzony umysłowo o czym Jarek rownież powiedział. Jezeli juz sie chcesz podpisywać, to rob to zgodnie z prawda i podpisuj sie tak jak was Jarek nazwał "upośledzony umysłowo" a tak wychodzisz na głupka ktory nie jest w stanie zrozumieć co mowi inny człowiek.|1|0|1
Plugawy człiwiek, mam nadzieje, ze wroci do RP juz za 1.5 roku|8|4|1
Super babka. Kocham ją i kochał będę. A PiS niech kocha Pawłowicz.  Skoro Pani Lewicka to małpa i rura to jak nazwać to wasze coś?|11|4|1
"TAK TRZYMAĆ I NIE OPUSZCZAĆ" !!!!   Psy szczekają karawana idzie dalej !!! Do Petra lgną PO-paprańcy ale nic z tego !!!  Szkodnicy,złodzieje,aferzyści pod sąd !!!|2|1|1
MACIEREWICZ TY JESTEŚ CHORY UMYSŁOWO. ODPIERDOL SIĘ OD NAS POLAKÓW. DAJ NAM ŻYĆ MAMY JUŻ DOŚĆ TYCH DWÓCH KACZORÓW.|6|5|1
rudy to jest rudy fałszywy|11|8|1
eme-rytka chyba wśród SB-ków i innych skur....synów  !|3|2|1
I tak by wyleciała a tak huk jest dużo mniejszy....dla niej. A to,ze skarży się obcym mediom tylko o niej źle świadczy.Nie ma nad czym płakać,niech idzie do Di Welt tylko tam będzie sprzątać .....kible.  Może wtedy zrozumie?|2|1|1
